id,description_title,category,description,name,spec,width,maxWidth,height,weight,capacity,technique[0],technique[1],technique[2],clay,glaze,notes,in_stock,url,instagramUrl,completionDate,updateDate,valid
1,玉サボテン様コーヒーカップ「黒亀」,coffee_cup,"玉サボテンの亀甲模様からインスピレーションを得たコーヒーカップです。
6角形の模様がゆるやかに膨らんだ立体感のある仕上がりで、触れるたびにその繊細な質感を楽しむことができます。
さらに、高台部分を6本の足のようにデザインし、遊び心をプラスしました。
上に張り出した取っ手は、持ちやすさを考慮しつつ、デザインのアクセントにもなっています。
艶やかな黒い地に、無数の油滴模様が広がり、見ていて飽きることのない魅力を放っています。
この独特なフォルムから「黒亀」と名付けました。",黒亀,"直径：約10cm (取っ手を除く)、12.5cm (取っ手込み)
高さ：約8.5cm
容量：約160cc (8割注水時)
重さ：190g
",,,,,,,,,,,,0,,,,,
3,柱サボテン様コーヒーカップ「十二刻」,coffee_cup,"柱サボテンをモチーフにしたコーヒーカップです。
カップの側面全体に、柱サボテンの陵を思わせる立体模様を彫り込みました。
外側は黒マット釉を施し、しっとりとした手触りと深みのある表情に。
内側には白萩釉を掛けており、口縁では白萩と黒マットの釉薬が溶け合い、滴り落ちるような独特の模様が生まれました。
このカップの最大の特長は、円周に沿って並ぶ 12本の足。
その姿がまるで時計の文字盤のように見えることから、「十二刻」と名付けました。
あなたのコーヒーブレークが、ゆったりとした穏やかなひとときになりますように。
「十二刻」とともに、心落ち着く時間をお楽しみください。",十二刻,"直径：約10cm (取っ手を除く)、12.5cm (取っ手込み)
高さ：約6.5cm
容量：約200cc (8割注水時)
重さ：200g",,,,,,,,,,,,1,,,2023/10/20,,
7,玉サボテン様12足黒マットパスタ皿「玄武皿」,coffee_cup,"全体に6角形の模様が施され、それぞれの6角形が膨らむように彫刻されています。これはまるでサボテンの葉が太陽の光を浴びて膨らむ様子を再現したもの。高台の形も工夫され、12本の足で立つような形に仕上げられています。これはまるでサボテンが土地から根を張っているかのような迫力があります。

そして、黒マットという釉薬で仕上げられたこのパスタ皿は、艶のない黒い器となっています。1つ1つの模様や足を削りだすのにはとても時間がかかり大変でしたが、その努力が実り、美しい仕上がりとなりました。

このパスタ皿を使えば、パスタを盛り付けるだけで、まるでサボテンの上に乗っているような気分になれます。サボテンの魔法が詰まったこのパスタ皿で、美味しいパスタを楽しんでください。",玄武皿,,,,,,,,,,,,,0,,,2023/10/6,,
8,サボテン菊水様コーヒーカップ「アルマジロ」,coffee_cup,"「菊水」というサボテンをモチーフに、しのぎの技法をで作ったコーヒーカップです。
カップの側面全体に、上向きのうろこ状の模様をレリーフ状に彫り込みました。
釉薬には「蕎麦」を使用しており、薄くかかった部分は深い茶色に、厚くかかった部分は明るい茶色の斑点模様が浮かび上がります。これにより、レリーフの形に沿って複雑な色の濃淡が生まれ、奥行きのある表情を楽しめます。
彫り込んだ模様は滑らかに仕上げているため、指先でなぞると心地よい手触りです。
取っ手は幅広に作り、指をしっかり通せるため、安定感のある持ちやすさも魅力のひとつ。
サボテンをイメージして作りましたが、焼き上がるとその姿はまるでアルマジロの鎧のよう。そこで、このカップには「アルマジロ」という銘を付けました。",アルマジロ,"直径：約9.5cm (取っ手を除く)、11.5cm (取っ手込み)
高さ：約7cm
容量：約130cc (8割注水時)
重さ：195g",,,,,,,,,,,,0,,,2023/10/6,,
20,玉サボテン様しのぎマグカップ「赫耀の秘光」,coffee_cup,"玉サボテンを模した六角形の彫り模様を施したマグカップです。
外側には光沢を抑えた黒マット釉を使用し、落ち着いた佇まいを演出。
対照的に、内側の赤結晶釉は周囲の光を反射し、まるで燃え立つ炎のような輝きを放ちます。
カップを手に、外側から中を覗くと、暗闇の奥から鋭い赤の光が目に飛び込んできます。
静寂の黒に秘められた鮮烈な輝きの美しさを映し、「赫耀の秘光」と名付けました。
光と影が織りなす表情を、ぜひ手に取ってご堪能ください。",赫耀の秘光,"直径：約10.5cm (取っ手を除く)、約13.0cm (取っ手を含む)
高さ：約8.5cm
容量：約260cc (8割注水時)
重さ：234g",,,,,,,,,,,,0,,,2024/9/22,,
21,玉サボテン様練り込みコーヒーカップ「モアレ」,coffee_cup,"これも玉サボテンをモチーフにしたコーヒーカップです。
普段は白土や赤土など1種類の土で作っていますが、今回は「練り込み」の技法でカップの形を作ってから、サボテンの形に削ってみました。
赤土と黒土の2つの粘土を使っています。練り込みなので、カップの表面に2つの粘土の縞模様ができますが、これを削ると、削った深さに応じて、さらに別の模様が出てきます。これがとても面白い模様になりました。
モアレ模様に見えるので、作品名を「モアレ」としました。
全体に「12番石灰」という透明釉をかけています。",モアレ,"直径：約9.0cm (取っ手を除く)、約11.0cm (取っ手を含む)
高さ：約6.5cm
容量：約150cc (8割注水時)
重さ：189g",,,,,,,,,,,,1,,,2024/9/29,,
22,サボテン金剛丸様練り込みコーヒーカップ「雲海のピラミッド」,coffee_cup,"玉サボテンをモチーフにしたコーヒーカップです。
でも、出来上がった印象は、小さなパイナップルです(笑)。
赤土と黒土で「練り込み」の技法でカップの形を作ってから、小さなピラミッド状の模様をカップ側面全体につけました。削ることにより、等高線、あるいは、地層のような縞模様が表面に浮かびました。
全体に「12番石灰」という透明釉をかけています。
透明釉ですが、厚くかかると白い膜のようになります。このカップでは、削ったピラミッドとピラミッドの間の溝に厚くかかりました。その見た目の印象から、銘を「雲海のピラミッド」としました。",雲海のピラミッド,,,,,,,,,,,,,1,,,2024/10/6,,
25,玉サボテン様乳濁赤結晶どんぶり「翠紅碗」,coffee_cup,"サボテンをモチーフにしたどんぶりです。
外側には、サボテンを模した6角形の模様を彫り込んでいます。
その模様に合わせ、高台を6本の足にしました。6本足で立つ様が少しだけかわいいです。
外側は乳濁という、どちらかというと地味に見える緑色の釉薬を、内側は赤結晶という派手な紅色の釉薬をかけています。
風雪に耐えるサボテンの、外皮は地味で目立たないのに、内部はみずみずしい感じを表現し、銘を「翠紅碗」としました。",翠紅碗,"直径：約15.0cm
高さ：約8.0cm
容量：約400cc (8割注水時)
重さ：350g",,,,,,,,,,,,0,,,,,
26,玉サボテン様練り込みコーヒーカップ「目覚めのフクロウ」,coffee_cup,"赤土と黒土を練り込み、玉サボテンからインスピレーションを得た六角形の模様を彫り込んだコーヒーカップです。
高台は6本のスリムな足で支えられ、個性的なフォルムが際立ちます。
土の自然な色彩と練り込みの美しい模様を引き立てるため、釉薬には透明釉を使用しました。
銘は 「目覚めのフクロウ」。
しのぎによって変化した練り込みの模様が、まるで寝ぼけまなこのフクロウのよう。
手に取るたびに、眠たげな表情のフクロウと目が合い、やさしく穏やかなコーヒーの時間を演出してくれます。",目覚めのフクロウ,"直径：約8.5cm (取っ手を除く)、約10.5cm (取っ手を含む)
高さ：約8.3cm
容量：約180cc (8割注水時)
重さ：192g",,,,,,,,,,,,1,,,2024/10/20,,
27,サボテン様練り込みコーヒーカップ「瑪瑙環」,coffee_cup,"白土と黒土を練り込み成形し、全体に細かいピラミッド型の模様を彫り込んだコーヒーカップです。練り込みによって生まれる独特の縞模様を削ることでさらに表情豊かな模様の妙が生まれます。
デザインのモチーフは、サボテンの金剛丸。側面全体に深く刻み込んだピラミッド状のしのぎ模様が、形にメリハリを与え、手に取ったときの感触も楽しめます。
仕上げには透明釉を施し、練り込み模様の美しさを引き立てました。カップ全体に広がる同心円状の模様が、瑪瑙の層を思わせることから「瑪瑙環」と名付けました。",瑪瑙環,"直径：約8.5cm (取っ手を除く)、11cm (取っ手込み)
高さ：約6.8cm
容量：約160cc (8割注水時)
重さ：199g",,,,,,,,,,,,0,,,2024/10/27,,
