"id","artwork_id","kind","image_url","video_url","alt_ja","alt_en","sort_order","valid"
"6159","1","image","https://storage.googleapis.com/sisiwaka-touen-medias/001/001_01%E6%89%8B%E6%8C%81%E3%81%A1.jpg",NULL,NULL,NULL,"1","1"
"6160","1","image","https://storage.googleapis.com/sisiwaka-touen-medias/001/001_02%E5%8F%B3.jpg",NULL,NULL,NULL,"2","1"
"6161","1","image","https://storage.googleapis.com/sisiwaka-touen-medias/001/001_03%E6%AD%A3%E9%9D%A2.jpg",NULL,NULL,NULL,"3","1"
"6162","1","image","https://storage.googleapis.com/sisiwaka-touen-medias/001/001_04%E5%B7%A6.jpg",NULL,NULL,NULL,"4","1"
"6163","1","image","https://storage.googleapis.com/sisiwaka-touen-medias/001/001_05%E5%8F%96%E3%81%A3%E6%89%8B.jpg",NULL,NULL,NULL,"5","1"
"6164","1","image","https://storage.googleapis.com/sisiwaka-touen-medias/001/001_06%E8%A6%8B%E8%BE%BC%E3%81%BF.jpg",NULL,NULL,NULL,"6","1"
"6165","1","image","https://storage.googleapis.com/sisiwaka-touen-medias/001/001_07%E8%A3%8F.jpg",NULL,NULL,NULL,"7","1"
"6166","1","image","https://storage.googleapis.com/sisiwaka-touen-medias/001/001_08%E5%A4%96%E5%81%B4%E6%8B%A1%E5%A4%A7.jpg",NULL,NULL,NULL,"8","1"
"6167","1","image","https://storage.googleapis.com/sisiwaka-touen-medias/001/001_09%E5%86%85%E5%81%B4%E6%8B%A1%E5%A4%A7.jpg",NULL,NULL,NULL,"9","1"
"6168","1","image","https://storage.googleapis.com/sisiwaka-touen-medias/001/001_10%E9%AB%98%E5%8F%B0%E6%8B%A1%E5%A4%A7.jpg",NULL,NULL,NULL,"10","1"
"6169","1","video","https://storage.googleapis.com/sisiwaka-touen-medias/001/001_%E9%BB%92%E4%BA%80.jpg","https://storage.googleapis.com/sisiwaka-touen-medias/001/001_%E9%BB%92%E4%BA%80.mp4",NULL,NULL,"999","1"
"6170","3","image","https://storage.googleapis.com/sisiwaka-touen-medias/003/003_01%E6%89%8B%E6%8C%81%E3%81%A1.jpg",NULL,NULL,NULL,"1","1"
"6171","3","image","https://storage.googleapis.com/sisiwaka-touen-medias/003/003_02%E5%B7%A6.jpg",NULL,NULL,NULL,"2","1"
"6172","3","image","https://storage.googleapis.com/sisiwaka-touen-medias/003/003_03%E6%AD%A3%E9%9D%A2.jpg",NULL,NULL,NULL,"3","1"
"6173","3","image","https://storage.googleapis.com/sisiwaka-touen-medias/003/003_04%E5%8F%B3.jpg",NULL,NULL,NULL,"4","1"
"6174","3","image","https://storage.googleapis.com/sisiwaka-touen-medias/003/003_05%E5%8F%96%E3%81%A3%E6%89%8B.jpg",NULL,NULL,NULL,"5","1"
"6175","3","image","https://storage.googleapis.com/sisiwaka-touen-medias/003/003_06%E6%8B%A1%E5%A4%A7.jpg",NULL,NULL,NULL,"6","1"
"6176","3","image","https://storage.googleapis.com/sisiwaka-touen-medias/003/003_07%E5%8F%96%E3%81%A3%E6%89%8B%E5%81%B4%E6%8B%A1%E5%A4%A7.jpg",NULL,NULL,NULL,"7","1"
"6177","3","image","https://storage.googleapis.com/sisiwaka-touen-medias/003/003_08%E8%A6%8B%E8%BE%BC%E3%81%BF.jpg",NULL,NULL,NULL,"8","1"
"6178","3","image","https://storage.googleapis.com/sisiwaka-touen-medias/003/003_09%E8%A6%8B%E8%BE%BC%E3%81%BF%E6%8B%A1%E5%A4%A7.jpg",NULL,NULL,NULL,"9","1"
"6179","3","image","https://storage.googleapis.com/sisiwaka-touen-medias/003/003_10%E8%A3%8F.jpg",NULL,NULL,NULL,"10","1"
"6180","3","image","https://storage.googleapis.com/sisiwaka-touen-medias/003/003_11%E8%B6%B3.jpg",NULL,NULL,NULL,"11","1"
"6181","3","video","https://storage.googleapis.com/sisiwaka-touen-medias/003/003_%E5%8D%81%E4%BA%8C%E5%88%BB.jpg","https://storage.googleapis.com/sisiwaka-touen-medias/003/003_%E5%8D%81%E4%BA%8C%E5%88%BB.mp4",NULL,NULL,"999","1"
"6182","7","image","https://storage.googleapis.com/sisiwaka-touen-medias/007/007_01%E6%89%8B%E6%8C%81%E3%81%A1.jpg",NULL,NULL,NULL,"1","1"
"6183","7","image","https://storage.googleapis.com/sisiwaka-touen-medias/007/007_02%E6%89%8B%E6%8C%81%E3%81%A12.jpg",NULL,NULL,NULL,"2","1"
"6184","7","image","https://storage.googleapis.com/sisiwaka-touen-medias/007/007_03%E5%85%A8%E4%BD%93.jpg",NULL,NULL,NULL,"3","1"
"6185","7","image","https://storage.googleapis.com/sisiwaka-touen-medias/007/007_04%E6%96%9C%E3%82%81%E4%B8%8A.jpg",NULL,NULL,NULL,"4","1"
"6186","7","image","https://storage.googleapis.com/sisiwaka-touen-medias/007/007_05%E3%81%82%E3%81%8A%E3%82%8A.jpg",NULL,NULL,NULL,"5","1"
"6187","7","image","https://storage.googleapis.com/sisiwaka-touen-medias/007/007_06%E6%8B%A1%E5%A4%A7.jpg",NULL,NULL,NULL,"6","1"
"6188","7","image","https://storage.googleapis.com/sisiwaka-touen-medias/007/007_07%E8%A6%8B%E8%BE%BC%E3%81%BF.jpg",NULL,NULL,NULL,"7","1"
"6189","7","image","https://storage.googleapis.com/sisiwaka-touen-medias/007/007_08%E8%A3%8F.jpg",NULL,NULL,NULL,"8","1"
"6190","7","image","https://storage.googleapis.com/sisiwaka-touen-medias/007/007_09%E8%B6%B3.jpg",NULL,NULL,NULL,"9","1"
"6191","7","video","https://storage.googleapis.com/sisiwaka-touen-medias/007/007_%E7%8E%84%E6%AD%A6%E7%9A%BF.jpg","https://storage.googleapis.com/sisiwaka-touen-medias/007/007_%E7%8E%84%E6%AD%A6%E7%9A%BF.mp4",NULL,NULL,"999","1"
"6192","8","image","https://storage.googleapis.com/sisiwaka-touen-medias/008/008_01%E6%89%8B%E6%8C%81%E3%81%A1.jpg",NULL,NULL,NULL,"1","1"
"6193","8","image","https://storage.googleapis.com/sisiwaka-touen-medias/008/008_02%E5%8F%B3.jpg",NULL,NULL,NULL,"2","1"
"6194","8","image","https://storage.googleapis.com/sisiwaka-touen-medias/008/008_03%E6%AD%A3%E9%9D%A2.jpg",NULL,NULL,NULL,"3","1"
"6195","8","image","https://storage.googleapis.com/sisiwaka-touen-medias/008/008_04%E5%B7%A6.jpg",NULL,NULL,NULL,"4","1"
"6196","8","image","https://storage.googleapis.com/sisiwaka-touen-medias/008/008_05%E5%8F%96%E3%81%A3%E6%89%8B.jpg",NULL,NULL,NULL,"5","1"
"6197","8","image","https://storage.googleapis.com/sisiwaka-touen-medias/008/008_06%E6%8B%A1%E5%A4%A7.jpg",NULL,NULL,NULL,"6","1"
"6198","8","image","https://storage.googleapis.com/sisiwaka-touen-medias/008/008_07%E5%8F%96%E3%81%A3%E6%89%8B%E8%A3%8F.jpg",NULL,NULL,NULL,"7","1"
"6199","8","image","https://storage.googleapis.com/sisiwaka-touen-medias/008/008_08%E5%8F%96%E3%81%A3%E6%89%8B%E6%8B%A1%E5%A4%A7.jpg",NULL,NULL,NULL,"8","1"
"6200","8","image","https://storage.googleapis.com/sisiwaka-touen-medias/008/008_09%E8%A6%8B%E8%BE%BC%E3%81%BF.jpg",NULL,NULL,NULL,"9","1"
"6201","8","image","https://storage.googleapis.com/sisiwaka-touen-medias/008/008_10%E8%A6%8B%E8%BE%BC%E3%81%BF%E6%8B%A1%E5%A4%A7.jpg",NULL,NULL,NULL,"10","1"
"6202","8","image","https://storage.googleapis.com/sisiwaka-touen-medias/008/008_11%E8%A3%8F.jpg",NULL,NULL,NULL,"11","1"
"6203","8","video","https://storage.googleapis.com/sisiwaka-touen-medias/008/008_%E3%82%A2%E3%83%AB%E3%83%9E%E3%82%B8%E3%83%AD.jpg","https://storage.googleapis.com/sisiwaka-touen-medias/008/008_%E3%82%A2%E3%83%AB%E3%83%9E%E3%82%B8%E3%83%AD.mp4",NULL,NULL,"999","1"
"6204","20","image","https://storage.googleapis.com/sisiwaka-touen-medias/020/020_01%E6%89%8B%E6%8C%81%E3%81%A1.jpg",NULL,NULL,NULL,"1","1"
"6205","20","image","https://storage.googleapis.com/sisiwaka-touen-medias/020/020_02%E5%8F%B3.jpg",NULL,NULL,NULL,"2","1"
"6206","20","image","https://storage.googleapis.com/sisiwaka-touen-medias/020/020_02%E6%AD%A3%E9%9D%A2.jpg",NULL,NULL,NULL,"2","1"
"6207","20","image","https://storage.googleapis.com/sisiwaka-touen-medias/020/020_03%E5%B7%A6.jpg",NULL,NULL,NULL,"3","1"
"6208","20","image","https://storage.googleapis.com/sisiwaka-touen-medias/020/020_04%E5%8F%96%E3%81%A3%E6%89%8B.jpg",NULL,NULL,NULL,"4","1"
"6209","20","image","https://storage.googleapis.com/sisiwaka-touen-medias/020/020_05%E6%8B%A1%E5%A4%A7.jpg",NULL,NULL,NULL,"5","1"
"6210","20","image","https://storage.googleapis.com/sisiwaka-touen-medias/020/020_06%E8%A6%8B%E8%BE%BC%E3%81%BF.jpg",NULL,NULL,NULL,"6","1"
"6211","20","image","https://storage.googleapis.com/sisiwaka-touen-medias/020/020_07%E8%A6%8B%E8%BE%BC%E3%81%BF%E6%8B%A1%E5%A4%A7.jpg",NULL,NULL,NULL,"7","1"
"6212","20","image","https://storage.googleapis.com/sisiwaka-touen-medias/020/020_08%E8%A3%8F.jpg",NULL,NULL,NULL,"8","1"
"6213","20","image","https://storage.googleapis.com/sisiwaka-touen-medias/020/020_09%E8%B6%B3%E6%8B%A1%E5%A4%A7.jpg",NULL,NULL,NULL,"9","1"
